raw_nhi_drug_code,normalized_nhi_drug_code,occurrence_count,source_photos,current_join_status,classification,proposed_corrected_code,corrected_join_status,official_drug_name_zh,official_drug_name_en,official_ingredient,reason,recommended_next_action
AC57805L00,AC57805L00,2,IMG_7670.JPG,unmatched,likely_ocr_confusion,AC57805100,matched,"""生達"" 立舒脂膜衣錠20毫克","Atorva F.C. Tab. 20mg ""Standard"" (Atorvastatin)",ATORVASTATIN (CALCIUM) 20 MG,OCR ambiguity corrected AC57805L00 -> AC57805100,manual_review_corrected_code_then_stage
AC58316100,AC58316100,2,IMG_7464.jpeg,matched,official_match,,not_needed,優脂定膜衣錠5毫克,Rosustin Film Coated Tablets 5mg,ROSUVASTATIN CALCIUM 5 MG,already joins official NHI staging,keep_for_review_candidate
AC58534100,AC58534100,2,IMG_7462.JPG,matched,official_match,,not_needed,寬樂醣膜衣錠500毫克,"Metformin F.C. Tablets 500mg ""CYH""",METFORMIN HCL 500 MG,already joins official NHI staging,keep_for_review_candidate
AC585341G0,AC585341G0,6,IMG_7285.JPG; IMG_7364.jpeg; IMG_7721.jpeg,matched,official_match,,not_needed,寬樂醣膜衣錠500毫克,"Metformin F.C. Tablets 500mg ""CYH""",METFORMIN HCL 500 MG,already joins official NHI staging,keep_for_review_candidate
AC585341GD,AC585341GD,1,IMG_7660.JPG,unmatched,needs_manual_review,,unmatched,,,,does not satisfy strict NHI code pattern and no conservative correction matched official NHI,manual_review_or_exclude
AC585341GO,AC585341GO,1,IMG_7655.JPG,unmatched,needs_manual_review,,unmatched,,,,does not satisfy strict NHI code pattern and no conservative correction matched official NHI,manual_review_or_exclude
AC58534L00,AC58534L00,2,IMG_7670.JPG,unmatched,likely_ocr_confusion,AC58534100,matched,寬樂醣膜衣錠500毫克,"Metformin F.C. Tablets 500mg ""CYH""",METFORMIN HCL 500 MG,OCR ambiguity corrected AC58534L00 -> AC58534100,manual_review_corrected_code_then_stage
AC59821100,AC59821100,2,IMG_7462.JPG,matched,official_match,,not_needed,安普新膜衣錠5/160毫克,Exfopine Film-Coated Tablet 5/160mg,VALSARTAN 160 MG+AMLODIPINE BESYLATE 5 MG,already joins official NHI staging,keep_for_review_candidate
AC60134100,AC60134100,10,IMG_7391.jpeg; IMG_7462.JPG; IMG_7564.jpeg; IMG_7656.JPG,matched,official_match,,not_needed,甜蜜克膜衣錠2/500毫克,Temilg F.C. Tablets 2/500mg,GLIMEPIRIDE 2 MG+METFORMIN HCL 500 MG,already joins official NHI staging,keep_for_review_candidate
AC61850100,AC61850100,7,IMG_7282.jpeg; IMG_7367.JPG; IMG_7394.jpeg; IMG_7396.JPG; IMG_7624.jpeg,matched,official_match,,not_needed,服克痛膜衣錠80毫克,Fekuton Film Coated Tablets 80mg,Febuxostat 80 MG,already joins official NHI staging,keep_for_review_candidate
ACS7805100,ACS7805100,2,IMG_7721.jpeg,unmatched,likely_ocr_confusion,AC57805100,matched,"""生達"" 立舒脂膜衣錠20毫克","Atorva F.C. Tab. 20mg ""Standard"" (Atorvastatin)",ATORVASTATIN (CALCIUM) 20 MG,OCR ambiguity corrected ACS7805100 -> AC57805100,manual_review_corrected_code_then_stage
AMLODIPINE,AMLODIPINE,14,IMG_7202.JPG; IMG_7283.JPG; IMG_7285.JPG; IMG_7394.jpeg; IMG_7396.JPG; IMG_7397.JPG; IMG_7464.jpeg; IMG_7624.jpeg; IMG_7627.JPG; IMG_7655.JPG; IMG_7670.JPG; IMG_7721.jpeg,unmatched,false_positive_word,,not_applicable,,,,all-alpha token or known drug word captured by broad regex,exclude_from_nhi_code_candidates
BA24876100,BA24876100,1,IMG_7509.JPG,matched,official_match,,not_needed,美爾胰膜衣錠 2/500 毫克,Amaryl M Film-coated Tablets 2/500mg,GLIMEPIRIDE 2 MG+METFORMIN HCL 500 MG,already joins official NHI staging,keep_for_review_candidate
BC171251G0,BC171251G0,3,IMG_7284.JPG; IMG_7394.jpeg; IMG_7396.JPG,matched,official_match,,not_needed,康肯５毫克,CONCOR 5,BISOPROLOL FUMARATE 5 MG,already joins official NHI staging,keep_for_review_candidate
BC171251GO,BC171251GO,4,IMG_7397.JPG; IMG_7464.jpeg; IMG_7510.jpeg; IMG_7675.JPG,unmatched,needs_manual_review,,unmatched,,,,does not satisfy strict NHI code pattern and no conservative correction matched official NHI,manual_review_or_exclude
BC215311G0,BC215311G0,1,IMG_7396.JPG,matched,official_match,,not_needed,使蒂諾斯膜衣錠１０毫克,STILNOX FILM-COATED SCORED TABLETS 10MG,ZOLPIDEM TARTRATE 10 MG,already joins official NHI staging,keep_for_review_candidate
